1,Lv-1,Lv-2,Lv-3,Lv-4,Lv-5,Lv-6,Lv-7,Lv-8
15603,1639,1635,1611,1635,1630,1619,1633,1630
15599,1631,1625,1601,1627,1623,1611,1625,1622
15595,1630,1624,1599,1626,1622,1610,1624,1619
15591,1629,1624,1598,1625,1619,1607,1623,1618
15587,1627,1623,1598,1623,1619,1607,1620,1617
15583,1625,1620,1597,1622,1618,1605,1618,1616
15579,1624,1618,1597,1620,1616,1605,1618,1615
15575,1624,1618,1596,1619,1614,1604,1617,1614
15571,1621,1617,1595,1619,1614,1602,1616,1613
15567,1621,1616,1594,1617,1614,1601,1616,1612
15563,1620,1615,1590,1617,1611,1600,1615,1611
15559,1619,1615,1589,1616,1611,1599,1614,1609
15555,1617,1612,1590,1615,1610,1597,1610,1609
15551,1617,1611,1588,1614,1610,1598,1609,1608
15547,1616,1611,1588,1613,1607,1597,1609,1606
15543,1616,1610,1587,1611,1607,1595,1609,1606
15539,1613,1609,1586,1610,1606,1595,1608,1605
15535,1613,1608,1584,1609,1605,1593,1607,1603
15531,1612,1607,1583,1609,1605,1593,1605,1603
15527,1611,1607,1582,1608,1603,1590,1603,1601
15523,1609,1606,1581,1607,1603,1589,1603,1601
15519,1608,1604,1580,1607,1601,1588,1601,1599
15515,1607,1603,1580,1606,1599,1588,1601,1599
15511,1605,1602,1579,1603,1598,1586,1600,1597
15507,1604,1600,1577,1603,1597,1586,1600,1597
15503,1603,1600,1575,1602,1597,1584,1600,1596
15499,1603,1600,1575,1601,1596,1585,1597,1594
15495,1603,1599,1573,1601,1595,1582,1597,1594
15491,1605,1600,1576,1601,1597,1585,1600,1595
15487,1603,1599,1577,1601,1596,1585,1599,1594
15483,1601,1597,1573,1600,1596,1583,1598,1593
15479,1600,1597,1572,1599,1594,1583,1596,1592
15475,1600,1597,1571,1599,1593,1580,1594,1591
15471,1600,1595,1571,1598,1592,1579,1593,1590
15467,1598,1593,1570,1597,1590,1578,1592,1589
15463,1596,1593,1570,1595,1589,1577,1592,1588
15459,1594,1592,1568,1593,1588,1577,1591,1587
15455,1594,1590,1567,1593,1588,1576,1590,1588
15451,1593,1590,1566,1592,1587,1575,1588,1585
15447,1592,1589,1565,1592,1587,1573,1587,1585
15443,1592,1589,1563,1591,1586,1572,1586,1583
15439,1590,1589,1564,1590,1584,1572,1585,1583
15435,1590,1585,1562,1589,1581,1570,1584,1581
15431,1588,1585,1562,1587,1581,1570,1584,1581
15427,1586,1584,1562,1585,1581,1570,1582,1579
15423,1585,1583,1561,1586,1579,1567,1581,1578
15419,1585,1583,1560,1584,1579,1567,1581,1578
15415,1584,1581,1556,1584,1577,1565,1579,1577
15411,1583,1582,1556,1583,1576,1564,1578,1575
15407,1583,1578,1555,1582,1575,1562,1577,1574
15403,1577,1572,1548,1574,1568,1557,1571,1567
15399,1574,1572,1549,1572,1566,1556,1570,1567
15395,1572,1569,1546,1571,1565,1555,1569,1564
15391,1571,1567,1544,1570,1565,1553,1566,1563
15387,1571,1566,1544,1570,1564,1552,1565,1562
15383,1570,1566,1543,1569,1563,1549,1564,1560
15379,1571,1568,1546,1569,1564,1553,1566,1563
15375,1569,1566,1545,1569,1563,1553,1565,1560
15371,1570,1566,1544,1569,1563,1551,1564,1560
15367,1568,1566,1542,1568,1561,1550,1562,1560
15363,1568,1564,1539,1567,1562,1549,1562,1559
15359,1567,1564,1539,1567,1558,1547,1561,1557
15355,1567,1562,1539,1564,1558,1548,1561,1556
15351,1566,1562,1539,1563,1558,1546,1560,1556
15347,1562,1561,1538,1563,1556,1545,1560,1556
15343,1563,1559,1537,1561,1556,1545,1557,1555
15339,1561,1559,1534,1561,1555,1543,1556,1552
15335,1560,1558,1534,1560,1554,1543,1555,1552
15331,1560,1558,1534,1559,1552,1540,1554,1552
15327,1559,1555,1532,1559,1552,1539,1553,1550
15323,1558,1554,1531,1558,1550,1539,1552,1549
15319,1555,1553,1530,1554,1548,1538,1552,1548
15315,1554,1553,1530,1553,1548,1537,1550,1548
15311,1553,1552,1529,1553,1547,1537,1550,1545
15307,1554,1550,1529,1552,1547,1536,1549,1545
15303,1552,1550,1526,1552,1546,1535,1547,1544
15299,1552,1549,1526,1550,1545,1534,1547,1544
15295,1552,1547,1526,1550,1542,1531,1546,1543
15291,1551,1546,1524,1551,1541,1530,1545,1542
